Vm 03%,Vm 05%,Vm 08%,Vm 10%,VM13%,C6,C7-T,Vmb 03%,Vmb 05%,Vmb 08%,Vmb 10%,Vmb13%,C13,C14-T,moss 03%,moss 05%,moss 08%,moss 10%,moss 13%,DV 03,DV 05,DV 08,DV 10,DV 13,C25,C26-T,ln moss03,ln moss 05,ln moss08,ln moss10,dung 03,dung 05,dung 10,dung 13,C35,C36-T
0,1,1,0,1,0,Vm 03%,0,1,1,0,1,0,Vmb 03%,5,2,0.5,45,100,34,6,3,8,10,34,DV 03,1.609437912,0.693147181,-0.693147181,3.80666249,1,1,1,0,1,dung 03
0.5,10,2,0,1,0.5,Vm 03%,0.5,0,2,0,1,0.5,Vmb 03%,25,35,15,40,65,25,2,3,5,49,25,DV 03,3.218875825,3.555348061,2.708050201,3.688879454,1,1,1,0,1,dung 03
0,0,2,0,7,0,Vm 03%,0,0,2,0,7,0,Vmb 03%,30,2,7,80,25,16,1,3,6,16,16,DV 03,3.401197382,0.693147181,1.945910149,4.382026635,1,0,0,0,1,dung 03
0.5,0,0,0,5,0.5,Vm 03%,0.5,0,0,0,5,0.5,Vmb 03%,3,5,8,20,80,2,1,1,5,1,2,DV 03,1.098612289,1.609437912,2.079441542,2.995732274,0,0,0,0,0,dung 03
0,0,5,0,0,0,Vm 03%,0,0,5,0,0,0,Vmb 03%,20,0.5,25,25,35,2,1,1,2,10,2,DV 03,2.995732274,-0.693147181,3.218875825,3.218875825,1,1,1,2,1,dung 03
0,0,1,0,0,0,Vm 03%,0,0.5,1,0,0,0,Vmb 03%,35,20,3,30,6,7,19,1,0,0,7,DV 03,3.555348061,2.995732274,1.098612289,3.401197382,1,0,0,0,1,dung 03
0,0.5,2,0,0,0,Vm 03%,0,3,2,0,0,0,Vmb 03%,75,1,25,20,1,4,10,1,0,0,4,DV 03,4.317488114,0,3.218875825,2.995732274,1,0,0,3,1,dung 03
0,3,2,0,1,0,Vm 03%,0,0.5,2,0,1,0,Vmb 03%,30,5,40,15,20,50,17,2,1,10,50,DV 03,3.401197382,1.609437912,3.688879454,2.708050201,1,1,0,0,1,dung 03
0.5,0.5,1,0,20,0.5,Vm 03%,0.5,0,1,0,2,0.5,Vmb 03%,5,5,20,10,95,9,1,2,0,8,9,DV 03,1.609437912,1.609437912,2.995732274,2.302585093,1,0,1,2,1,dung 03
0,0,0.5,1,2,0,Vm 03%,0,0.5,0.5,1,0,0,Vmb 03%,40,35,20,5,1,1,6,7,2,1,1,DV 03,3.688879454,3.555348061,2.995732274,1.609437912,0,0,1,2,0,dung 03
0,0.5,1,0,0,0,Vm 03%,0,0.5,1,0,0.5,0,Vmb 03%,75,15,20,30,95,8,2,11,0,3,8,DV 03,4.317488114,2.708050201,2.995732274,3.401197382,3,0,1,0,3,dung 03
0,0.5,0,2,0.5,0,Vm 03%,0,1,0,2,0.5,0,Vmb 03%,0.5,30,8,20,25,15,13,5,0,4,15,DV 03,-0.693147181,3.401197382,2.079441542,2.995732274,0,1,2,0,0,dung 03
0,1,1,0,0.5,0,Vm 03%,0,0,1,0,0.5,0,Vmb 03%,1,10,15,50,8,5,12,1,0,0,5,DV 03,0,2.302585093,2.708050201,3.912023005,0,0,0,1,0,dung 03
0.5,0,0.5,1,0.5,0.5,Vm 03%,0.5,0,0.5,1,1,0.5,Vmb 03%,15,10,50,30,15,6,3,1,0,0,6,DV 03,2.708050201,2.302585093,3.912023005,3.401197382,0,1,0,0,0,dung 03
0.5,0,0,0,1,0.5,Vm 03%,0.5,0.5,0,0,0,0.5,Vmb 03%,15,20,50,30,55,19,2,0,0,1,19,DV 03,2.708050201,2.995732274,3.912023005,3.401197382,1,1,1,,1,dung 03
0,0.5,0,0,0,0,Vm 03%,0,0.5,0,0,0,0,Vmb 03%,2,2,35,90,12,1,4,0,10,0,1,DV 03,0.693147181,0.693147181,3.555348061,4.49980967,2,1,3,1,2,dung 03
0,0.5,0,2,0,0,Vm 03%,0,1,0,2,0.5,0,Vmb 03%,0.5,15,50,1,50,3,2,0,7,4,3,DV 03,-0.693147181,2.708050201,3.912023005,0,1,0,3,1,1,dung 03
0,1,0,0.5,0.5,0,Vm 03%,0,0,0,0.5,0,0,Vmb 03%,5,10,25,2,3,2,5,0,0,0,2,DV 03,1.609437912,2.302585093,3.218875825,0.693147181,0,1,0,4,0,dung 03
0.5,0,0,2,0,0.5,Vm 03%,0.5,5,0,2,1,0.5,Vmb 03%,1,5,11,15,0,3,7,0,0,7,3,DV 03,0,1.609437912,2.397895273,2.708050201,1,1,3,0,1,dung 03
0.5,5,2,0,1,0.5,Vm 03%,0.5,0,2,0,1,0.5,Vmb 03%,0.5,0.5,22,75,20,17,0,0,0,5,17,DV 03,-0.693147181,-0.693147181,3.091042453,4.317488114,1,0,1,0,1,dung 03
0,0,,2,1,0,Vm 03%,0,1,,2,0,0,Vmb 03%,4,1,,60,10,20,0,,0,7,20,DV 03,1.386294361,0,,4.094344562,2,0,0,2,2,dung 03
0,1,,1,0,0,Vm 03%,0,5,,1,0,0,Vmb 03%,0.5,2.5,,25,9,3,0,,0,2,3,DV 03,-0.693147181,0.916290732,,3.218875825,1,0,0,0,1,dung 03
0,5,,0,0,0,Vm 03%,0,0,,0,0,0,Vmb 03%,3,5,,50,8,13,0,,0,0,13,DV 03,1.098612289,1.609437912,,3.912023005,1,0,0,4,1,dung 03
0,0,,0.5,0,0,Vm 03%,0,0.5,,0.5,0.5,0,Vmb 03%,65,0.05,,20,45,7,0,,8,0,7,DV 03,4.17438727,-2.995732274,,2.995732274,0,3,0,0,0,dung 03
0.5,0.5,,2,0.5,0.5,Vm 03%,0.5,0,,2,0,0.5,Vmb 03%,1,1,,35,60,2,0,,7,8,2,DV 03,0,0,,3.555348061,2,3,0,0,2,dung 03
0.5,0,,0.5,0,0.5,Vm 03%,0.5,2,,0.5,0,0.5,Vmb 03%,10,1,,50,8,4,0,,2,0,4,DV 03,2.302585093,0,,3.912023005,1,1,2,1,1,dung 03
0,2,,1,0,0,Vm 03%,0,0.5,,1,0,0,Vmb 03%,2,20,,0.5,75,8,0,,1,6,8,DV 03,0.693147181,2.995732274,,-0.693147181,2,1,0,0,2,dung 03
0,0.5,,0,0,0,Vm 03%,0,0,,0,0,0,Vmb 03%,2.5,15,,0.5,60,2,0,,1,12,2,DV 03,0.916290732,2.708050201,,-0.693147181,0,0,1,0,0,dung 03
0,0,,5,0,0,Vm 03%,0,0.5,,5,0,0,Vmb 03%,1,15,,0.5,2,3,0,,5,1,3,DV 03,0,2.708050201,,-0.693147181,3,2,1,0,3,dung 03
0,0.5,,5,0,0,Vm 03%,0,0,,5,0,0,Vmb 03%,0.5,1,,10,15,1,0,,1,3,1,DV 03,-0.693147181,0,,2.302585093,1,4,5,0,1,dung 03
0,0,,10,0,0,Vm 03%,0,0,,0,3,0,Vmb 03%,0.5,10,,0.5,11,16,0,,1,10,16,DV 03,-0.693147181,2.302585093,,-0.693147181,0,4,1,0,0,dung 03
0.5,0,,0,3,0.5,Vm 03%,0.5,0,,0,1,0.5,Vmb 03%,0.5,5,,0,75,4,0,,3,5,4,DV 03,-0.693147181,1.609437912,,,3,1,2,3,3,dung 03
0.5,0,,0,1,0.5,Vm 03%,0.5,0,,,2,0.5,Vmb 03%,5,3,,0,3,0,0,,0,1,0,DV 03,1.609437912,1.098612289,,,1,0,4,0,1,dung 03
0,0,,,2,0,Vm 03%,0,5,,,0.5,0,Vmb 03%,25,5,,,90,0,0,,,11,0,DV 03,3.218875825,1.609437912,,,0,0,,0,0,dung 03
0,5,,,0.5,0,Vm 03%,0,0,,,0,0,Vmb 03%,5,7,,,4,0,0,,,2,0,DV 03,1.609437912,1.945910149,,,3,2,,1,3,dung 03
0,0,,,0,0,Vm 03%,0,0,,,0,0,Vmb 03%,1,0.5,,,5,0,0,,,1,0,DV 03,0,-0.693147181,,,3,0,,2,3,dung 03
0.5,0,,,0,0.5,Vm 03%,0.5,0,,,0.5,0.5,Vmb 03%,10,1,,,45,0,0,,,0,0,DV 03,2.302585093,0,,,3,0,,0,3,dung 03
0,0,,,0.5,0,Vm 03%,0,0,,,0,0,Vmb 03%,2,20,,,10,0,0,,,20,0,DV 03,0.693147181,2.995732274,,,2,2,,,2,dung 03
0,0,,,0,0,Vm 03%,0,0,,,0,0,Vmb 03%,20,50,,,8,0,0,,,0,0,DV 03,2.995732274,3.912023005,,,1,0,,0,1,dung 03
0,0,,,0,0,Vm 03%,0,1,,,2,0,Vmb 03%,0.5,15,,,1,0,0,,,0,0,DV 03,-0.693147181,2.708050201,,,0,0,,2,0,dung 03
0,1,,,2,0,Vm 03%,0,0,,,2,0,Vmb 03%,1,40,,,50,0,0,,,0,0,DV 03,0,3.688879454,,,0,0,,4,0,dung 03
0,0,,,2,0,Vm 03%,0,0,,,5,0,Vmb 03%,0.5,25,,,10,0,0,,,0,0,DV 03,-0.693147181,3.218875825,,,1,0,,3,1,dung 03
,0,,,5,1,Vm 05%,,0,,,1,1,Vmb 05%,,70,,,2,,0,,,1,6,DV 05,,4.248495242,,,,0,,1,1,dung 05
,0,,,1,10,Vm 05%,,,,,1,0,Vmb 05%,,2,,,0,,0,,,0,2,DV 05,,0.693147181,,,,0,,0,1,dung 05
,,,,1,0,Vm 05%,,,,,0.5,0,Vmb 05%,,,,,60,,,,,0,1,DV 05,,,,,,0,,1,0,dung 05
,,,,0.5,0,Vm 05%,,,,,0,0,Vmb 05%,,,,,50,,,,,20,1,DV 05,,,,,,,,0,0,dung 05
,,,,0,0,Vm 05%,,,,,0,0,Vmb 05%,,,,,5,,,,,0,1,DV 05,,,,,,,,1,1,dung 05
