mossht 03,mossht 05,mossht 08,mossht 10,mossht 13,Vm ht 03,Vm ht 05,Vm ht 08,Vm ht 10,Vm ht 13,Fo ht 03,Fo ht 05,Fo ht 08,Fo ht 10,Fo ht 13,Cx ht 03,Cx ht 05,Cx ht 08,Cx ht 10,Cx ht 13,grm ht 03,grm ht 05,grm ht 08,grm ht 10,grm ht 13,C26,C27-T,C28,C29-T,C31,C32-T
2.5,2.5,1.5,5,5.5,2.5,3.5,1,4,3.5,4.5,2.5,4,3,1.5,2,10,14,5,7,4.5,2.5,4,5,3,2.5,Vm ht 03,2.5,mossht 03,2.5,mossht 03
4.5,2,2,2,7,4,3,1,3.5,5,2.5,4,4,2,2.5,3,5.5,5,15,7,2.5,4,4,3,7,4,Vm ht 03,4.5,mossht 03,4.5,mossht 03
3,1,1.5,3.5,6,4,4.5,0.5,8.5,3.5,6,8.5,4,3,3,3.5,3,12.5,8.5,5.5,6,10,4,2,1.5,4,Vm ht 03,3,mossht 03,3,mossht 03
2,4,6,2.5,2.5,2,3,3.5,5,5,6,3,2.5,5,3,5.5,7.5,3.5,6,5,2,10.5,14,3,9,2,Vm ht 03,2,mossht 03,2,mossht 03
3,3,3.5,3,2.5,2.5,1,2.5,4.5,3,5,3,4,3,3.5,2.5,4,2,5,4.5,6,8.5,5,5,7,2.5,Vm ht 03,3,mossht 03,3,mossht 03
4,1.5,5,4,4,3.5,2.5,2.5,5,4.5,2.5,2.5,4,3.5,4,4,7,3,4,7,5,3,12.5,15,2.5,3.5,Vm ht 03,4,mossht 03,4,mossht 03
4.5,1,2.5,2.5,2,3,2.5,1.5,6,1,2,2.5,5,6,2.5,2.5,7,12,7.5,7,2.5,3,2.5,8.5,3,3,Vm ht 03,4.5,mossht 03,4.5,mossht 03
2.5,1.5,4.5,0.5,3.5,2,2.5,2.5,6.5,1.5,4,3.5,5,5,1.5,4,6.5,6,9,6,2,2.5,4,6,7,2,Vm ht 03,2.5,mossht 03,2.5,mossht 03
2,1.5,4,1.5,7,2.5,2.5,3,4.5,3.5,2,3,4,4,3,4,8.5,6.5,8.5,6.5,4,2.5,3.5,5,5.5,2.5,Vm ht 03,2,mossht 03,2,mossht 03
2.5,3,2,2,2,1,1.5,4,3,2,8,4.5,3,4,4,3,6.5,3,6,5.5,2,3.5,2,4,5,1,Vm ht 03,2.5,mossht 03,2.5,mossht 03
